timestamp,equity
2026-03-24T15:00:00+00:00,10000.00
2026-03-24T15:00:00+00:00,10000.00
2026-03-24T15:00:00+00:00,10000.00
2026-03-24T15:15:00+00:00,10000.00
2026-03-24T15:15:00+00:00,10000.00
2026-03-24T15:15:00+00:00,10000.00
2026-03-24T15:30:00+00:00,10000.00
2026-03-24T15:30:00+00:00,10000.00
2026-03-24T15:30:00+00:00,10000.00
2026-03-24T15:45:00+00:00,10000.00
2026-03-24T15:45:00+00:00,10000.00
2026-03-24T15:45:00+00:00,10000.00
2026-03-24T16:00:00+00:00,10000.00
2026-03-24T16:00:00+00:00,10000.00
2026-03-24T16:00:00+00:00,10000.00
2026-03-24T16:15:00+00:00,10000.00
2026-03-24T16:15:00+00:00,10000.00
2026-03-24T16:15:00+00:00,10000.00
2026-03-24T16:30:00+00:00,10000.00
2026-03-24T16:30:00+00:00,10000.00
2026-03-24T16:30:00+00:00,10000.00
2026-03-24T16:45:00+00:00,10000.00
2026-03-24T16:45:00+00:00,10000.00
2026-03-24T16:45:00+00:00,10000.00
2026-03-24T17:00:00+00:00,10000.00
2026-03-24T17:00:00+00:00,10000.00
2026-03-24T17:00:00+00:00,10000.00
2026-03-24T17:15:00+00:00,10000.00
2026-03-24T17:15:00+00:00,10000.00
2026-03-24T17:15:00+00:00,10000.00
2026-03-24T17:30:00+00:00,10000.00
2026-03-24T17:30:00+00:00,10000.00
2026-03-24T17:30:00+00:00,10000.00
2026-03-24T17:45:00+00:00,10000.00
2026-03-24T17:45:00+00:00,10000.00
2026-03-24T17:45:00+00:00,10000.00
2026-03-24T18:00:00+00:00,10000.00
2026-03-24T18:00:00+00:00,10000.00
2026-03-24T18:00:00+00:00,10000.00
2026-03-24T18:15:00+00:00,10000.00
2026-03-24T18:15:00+00:00,10000.00
2026-03-24T18:15:00+00:00,10000.00
2026-03-24T18:30:00+00:00,10000.00
2026-03-24T18:30:00+00:00,10000.00
2026-03-24T18:30:00+00:00,10000.00
2026-03-24T18:45:00+00:00,10000.00
2026-03-24T18:45:00+00:00,10000.00
2026-03-24T18:45:00+00:00,10000.00
2026-03-24T19:00:00+00:00,10000.00
2026-03-24T19:00:00+00:00,10000.00
2026-03-24T19:00:00+00:00,10000.00
2026-03-24T19:15:00+00:00,10000.00
2026-03-24T19:15:00+00:00,10000.00
2026-03-24T19:15:00+00:00,10000.00
2026-03-24T19:30:00+00:00,10000.00
2026-03-24T19:30:00+00:00,10000.00
2026-03-24T19:30:00+00:00,10000.00
2026-03-24T19:45:00+00:00,10000.00
2026-03-24T19:45:00+00:00,10000.00
2026-03-24T19:45:00+00:00,10000.00
2026-03-24T20:00:00+00:00,10000.00
2026-03-24T20:00:00+00:00,10000.00
2026-03-24T20:00:00+00:00,10000.00
2026-03-24T20:15:00+00:00,10000.00
2026-03-24T20:15:00+00:00,10000.00
2026-03-24T20:15:00+00:00,10000.00
2026-03-24T20:30:00+00:00,10000.00
2026-03-24T20:30:00+00:00,10000.00
2026-03-24T20:30:00+00:00,10000.00
2026-03-24T20:45:00+00:00,10000.00
2026-03-24T20:45:00+00:00,10000.00
2026-03-24T20:45:00+00:00,10000.00
2026-03-24T21:00:00+00:00,10000.00
2026-03-24T21:00:00+00:00,10000.00
2026-03-24T21:00:00+00:00,10000.00
2026-03-24T21:15:00+00:00,10000.00
2026-03-24T21:15:00+00:00,10000.00
2026-03-24T21:15:00+00:00,10000.00
2026-03-24T21:30:00+00:00,10000.00
2026-03-24T21:30:00+00:00,10000.00
2026-03-24T21:30:00+00:00,10000.00
2026-03-24T21:45:00+00:00,10000.00
2026-03-24T21:45:00+00:00,10000.00
2026-03-24T21:45:00+00:00,10000.00
2026-03-24T22:00:00+00:00,10000.00
2026-03-24T22:00:00+00:00,10000.00
2026-03-24T22:00:00+00:00,10000.00
2026-03-24T22:15:00+00:00,10000.00
2026-03-24T22:15:00+00:00,10000.00
2026-03-24T22:15:00+00:00,10000.00
2026-03-24T22:30:00+00:00,10000.00
2026-03-24T22:30:00+00:00,10000.00
2026-03-24T22:30:00+00:00,10000.00
2026-03-24T22:45:00+00:00,10000.00
2026-03-24T22:45:00+00:00,10000.00
2026-03-24T22:45:00+00:00,10000.00
2026-03-24T23:00:00+00:00,10000.00
2026-03-24T23:00:00+00:00,10000.00
2026-03-24T23:00:00+00:00,10000.00
2026-03-24T23:15:00+00:00,10000.00
2026-03-24T23:15:00+00:00,10000.00
2026-03-24T23:15:00+00:00,10000.00
2026-03-24T23:30:00+00:00,10000.00
2026-03-24T23:30:00+00:00,10000.00
2026-03-24T23:30:00+00:00,10000.00
2026-03-24T23:45:00+00:00,10000.00
2026-03-24T23:45:00+00:00,10000.00
2026-03-24T23:45:00+00:00,10000.00
2026-03-25T00:00:00+00:00,10000.00
2026-03-25T00:00:00+00:00,10000.00
2026-03-25T00:00:00+00:00,10000.00
2026-03-25T00:15:00+00:00,10000.00
2026-03-25T00:15:00+00:00,10000.00
2026-03-25T00:15:00+00:00,10000.00
2026-03-25T00:30:00+00:00,10000.00
2026-03-25T00:30:00+00:00,10000.00
2026-03-25T00:30:00+00:00,10000.00
2026-03-25T00:45:00+00:00,10000.00
2026-03-25T00:45:00+00:00,10000.00
2026-03-25T00:45:00+00:00,10000.00
2026-03-25T01:00:00+00:00,10000.00
2026-03-25T01:00:00+00:00,10000.00
2026-03-25T01:00:00+00:00,10000.00
2026-03-25T01:15:00+00:00,10000.00
2026-03-25T01:15:00+00:00,10000.00
2026-03-25T01:15:00+00:00,10000.00
2026-03-25T01:30:00+00:00,10000.00
2026-03-25T01:30:00+00:00,10000.00
2026-03-25T01:30:00+00:00,10000.00
2026-03-25T01:45:00+00:00,10000.00
2026-03-25T01:45:00+00:00,10000.00
2026-03-25T01:45:00+00:00,10000.00
2026-03-25T02:00:00+00:00,10000.00
2026-03-25T02:00:00+00:00,10000.00
2026-03-25T02:00:00+00:00,10000.00
2026-03-25T02:15:00+00:00,10000.00
2026-03-25T02:15:00+00:00,10000.00
2026-03-25T02:15:00+00:00,10000.00
2026-03-25T02:30:00+00:00,10000.00
2026-03-25T02:30:00+00:00,10000.00
2026-03-25T02:30:00+00:00,10000.00
2026-03-25T02:45:00+00:00,10000.00
2026-03-25T02:45:00+00:00,10000.00
2026-03-25T02:45:00+00:00,10000.00
2026-03-25T03:00:00+00:00,10000.00
2026-03-25T03:00:00+00:00,10000.00
2026-03-25T03:00:00+00:00,10000.00
2026-03-25T03:15:00+00:00,10000.00
2026-03-25T03:15:00+00:00,10000.00
2026-03-25T03:15:00+00:00,10000.00
2026-03-25T03:30:00+00:00,10000.00
2026-03-25T03:30:00+00:00,10000.00
2026-03-25T03:30:00+00:00,10000.00
2026-03-25T03:45:00+00:00,10000.00
2026-03-25T03:45:00+00:00,10000.00
2026-03-25T03:45:00+00:00,10000.00
2026-03-25T04:00:00+00:00,10000.00
2026-03-25T04:00:00+00:00,10000.00
2026-03-25T04:00:00+00:00,10000.00
2026-03-25T04:15:00+00:00,10000.00
2026-03-25T04:15:00+00:00,10000.00
2026-03-25T04:15:00+00:00,10000.00
2026-03-25T04:30:00+00:00,10000.00
2026-03-25T04:30:00+00:00,10000.00
2026-03-25T04:30:00+00:00,10000.00
2026-03-25T04:45:00+00:00,10000.00
2026-03-25T04:45:00+00:00,10000.00
2026-03-25T04:45:00+00:00,10000.00
2026-03-25T05:00:00+00:00,10000.00
2026-03-25T05:00:00+00:00,10000.00
2026-03-25T05:00:00+00:00,10000.00
2026-03-25T05:15:00+00:00,10000.00
2026-03-25T05:15:00+00:00,10000.00
2026-03-25T05:15:00+00:00,10000.00
2026-03-25T05:30:00+00:00,10000.00
2026-03-25T05:30:00+00:00,10000.00
2026-03-25T05:30:00+00:00,10000.00
2026-03-25T05:45:00+00:00,10000.00
2026-03-25T05:45:00+00:00,10000.00
2026-03-25T05:45:00+00:00,10000.00
2026-03-25T06:00:00+00:00,10000.00
2026-03-25T06:00:00+00:00,10000.00
2026-03-25T06:00:00+00:00,10000.00
2026-03-25T06:15:00+00:00,10000.00
2026-03-25T06:15:00+00:00,10000.00
2026-03-25T06:15:00+00:00,10000.00
2026-03-25T06:30:00+00:00,10000.00
2026-03-25T06:30:00+00:00,10000.00
2026-03-25T06:30:00+00:00,10000.00
2026-03-25T06:45:00+00:00,10000.00
2026-03-25T06:45:00+00:00,10000.00
2026-03-25T06:45:00+00:00,10000.00
2026-03-25T07:00:00+00:00,10000.00
2026-03-25T07:00:00+00:00,10000.00
2026-03-25T07:00:00+00:00,10000.00
2026-03-25T07:15:00+00:00,10000.00
2026-03-25T07:15:00+00:00,10000.00
2026-03-25T07:15:00+00:00,10000.00
2026-03-25T07:30:00+00:00,10000.00
2026-03-25T07:30:00+00:00,10000.00
2026-03-25T07:30:00+00:00,10000.00
2026-03-25T07:45:00+00:00,10000.00
2026-03-25T07:45:00+00:00,10000.00
2026-03-25T07:45:00+00:00,10000.00
2026-03-25T08:00:00+00:00,10000.00
2026-03-25T08:00:00+00:00,10000.00
2026-03-25T08:00:00+00:00,10000.00
2026-03-25T08:15:00+00:00,10000.00
2026-03-25T08:15:00+00:00,10000.00
2026-03-25T08:15:00+00:00,10000.00
2026-03-25T08:30:00+00:00,10000.00
2026-03-25T08:30:00+00:00,10000.00
2026-03-25T08:30:00+00:00,10000.00
2026-03-25T08:45:00+00:00,10000.00
2026-03-25T08:45:00+00:00,10000.00
2026-03-25T08:45:00+00:00,10000.00
2026-03-25T09:00:00+00:00,10000.00
2026-03-25T09:00:00+00:00,10000.00
2026-03-25T09:00:00+00:00,10000.00
2026-03-25T09:15:00+00:00,10000.00
2026-03-25T09:15:00+00:00,10000.00
2026-03-25T09:15:00+00:00,10000.00
2026-03-25T09:30:00+00:00,10000.00
2026-03-25T09:30:00+00:00,10000.00
2026-03-25T09:30:00+00:00,10000.00
2026-03-25T09:45:00+00:00,10000.00
2026-03-25T09:45:00+00:00,10000.00
2026-03-25T09:45:00+00:00,10000.00
2026-03-25T10:00:00+00:00,10000.00
2026-03-25T10:00:00+00:00,10000.00
2026-03-25T10:00:00+00:00,10000.00
2026-03-25T10:15:00+00:00,10000.00
2026-03-25T10:15:00+00:00,10000.00
2026-03-25T10:15:00+00:00,10000.00
2026-03-25T10:30:00+00:00,10000.00
2026-03-25T10:30:00+00:00,10000.00
2026-03-25T10:30:00+00:00,10000.00
2026-03-25T10:45:00+00:00,10000.00
2026-03-25T10:45:00+00:00,10000.00
2026-03-25T10:45:00+00:00,10000.00
2026-03-25T11:00:00+00:00,10000.00
2026-03-25T11:00:00+00:00,10000.00
2026-03-25T11:00:00+00:00,10000.00
2026-03-25T11:15:00+00:00,10000.00
2026-03-25T11:15:00+00:00,10000.00
2026-03-25T11:15:00+00:00,10000.00
2026-03-25T11:30:00+00:00,10000.00
2026-03-25T11:30:00+00:00,10000.00
2026-03-25T11:30:00+00:00,10000.00
2026-03-25T11:45:00+00:00,10000.00
2026-03-25T11:45:00+00:00,10000.00
2026-03-25T11:45:00+00:00,10000.00
2026-03-25T12:00:00+00:00,10000.00
2026-03-25T12:00:00+00:00,10000.00
2026-03-25T12:00:00+00:00,10000.00
2026-03-25T12:15:00+00:00,10000.00
2026-03-25T12:15:00+00:00,10000.00
2026-03-25T12:15:00+00:00,10000.00
2026-03-25T12:30:00+00:00,10000.00
2026-03-25T12:30:00+00:00,10000.00
2026-03-25T12:30:00+00:00,10000.00
2026-03-25T12:45:00+00:00,10000.00
2026-03-25T12:45:00+00:00,10000.00
2026-03-25T12:45:00+00:00,10000.00
2026-03-25T13:00:00+00:00,10000.00
2026-03-25T13:00:00+00:00,10000.00
2026-03-25T13:00:00+00:00,10000.00
2026-03-25T13:15:00+00:00,10000.00
2026-03-25T13:15:00+00:00,10000.00
2026-03-25T13:15:00+00:00,10000.00
2026-03-25T13:30:00+00:00,10000.00
2026-03-25T13:30:00+00:00,10000.00
2026-03-25T13:30:00+00:00,10000.00
2026-03-25T13:45:00+00:00,10000.00
2026-03-25T13:45:00+00:00,10000.00
2026-03-25T13:45:00+00:00,10000.00
2026-03-25T14:00:00+00:00,10000.00
2026-03-25T14:00:00+00:00,10000.00
2026-03-25T14:00:00+00:00,10000.00
2026-03-25T14:15:00+00:00,10000.00
2026-03-25T14:15:00+00:00,10000.00
2026-03-25T14:15:00+00:00,10000.00
2026-03-25T14:30:00+00:00,10000.00
2026-03-25T14:30:00+00:00,10000.00
2026-03-25T14:30:00+00:00,10000.00
2026-03-25T14:45:00+00:00,10000.00
2026-03-25T14:45:00+00:00,10000.00
2026-03-25T14:45:00+00:00,10000.00
2026-03-25T15:00:00+00:00,10000.00
2026-03-25T15:00:00+00:00,10000.00
2026-03-25T15:00:00+00:00,10000.00
2026-03-25T15:15:00+00:00,10000.00
2026-03-25T15:15:00+00:00,10000.00
2026-03-25T15:15:00+00:00,10000.00
2026-03-25T15:30:00+00:00,10000.00
2026-03-25T15:30:00+00:00,10000.00
2026-03-25T15:30:00+00:00,10000.00
2026-03-25T15:45:00+00:00,10000.00
2026-03-25T15:45:00+00:00,10000.00
2026-03-25T15:45:00+00:00,10000.00
2026-03-25T16:00:00+00:00,10000.00
2026-03-25T16:00:00+00:00,10000.00
2026-03-25T16:00:00+00:00,10000.00
2026-03-25T16:15:00+00:00,10000.00
2026-03-25T16:15:00+00:00,10000.00
2026-03-25T16:15:00+00:00,10000.00
2026-03-25T16:30:00+00:00,10000.00
2026-03-25T16:30:00+00:00,10000.00
2026-03-25T16:30:00+00:00,10000.00
2026-03-25T16:45:00+00:00,10000.00
2026-03-25T16:45:00+00:00,10000.00
2026-03-25T16:45:00+00:00,10000.00
2026-03-25T17:00:00+00:00,10000.00
2026-03-25T17:00:00+00:00,10000.00
2026-03-25T17:00:00+00:00,10000.00
2026-03-25T17:15:00+00:00,10000.00
2026-03-25T17:15:00+00:00,10000.00
2026-03-25T17:15:00+00:00,10000.00
2026-03-25T17:30:00+00:00,10000.00
2026-03-25T17:30:00+00:00,10000.00
2026-03-25T17:30:00+00:00,10000.00
2026-03-25T17:45:00+00:00,10000.00
2026-03-25T17:45:00+00:00,10000.00
2026-03-25T17:45:00+00:00,10000.00
2026-03-25T18:00:00+00:00,10000.00
2026-03-25T18:00:00+00:00,10000.00
2026-03-25T18:00:00+00:00,10000.00
2026-03-25T18:15:00+00:00,10000.00
2026-03-25T18:15:00+00:00,10000.00
2026-03-25T18:15:00+00:00,10000.00
2026-03-25T18:30:00+00:00,10000.00
2026-03-25T18:30:00+00:00,10000.00
2026-03-25T18:30:00+00:00,10000.00
2026-03-25T18:45:00+00:00,10000.00
2026-03-25T18:45:00+00:00,10000.00
2026-03-25T18:45:00+00:00,10000.00
2026-03-25T19:00:00+00:00,10000.00
2026-03-25T19:00:00+00:00,10000.00
2026-03-25T19:00:00+00:00,10000.00
2026-03-25T19:15:00+00:00,10000.00
2026-03-25T19:15:00+00:00,10000.00
2026-03-25T19:15:00+00:00,10000.00
2026-03-25T19:30:00+00:00,10000.00
2026-03-25T19:30:00+00:00,10000.00
2026-03-25T19:30:00+00:00,10000.00
2026-03-25T19:45:00+00:00,10000.00
2026-03-25T19:45:00+00:00,10000.00
2026-03-25T19:45:00+00:00,10000.00
2026-03-25T20:00:00+00:00,10000.00
2026-03-25T20:00:00+00:00,10000.00
2026-03-25T20:00:00+00:00,10000.00
2026-03-25T20:15:00+00:00,10000.00
2026-03-25T20:15:00+00:00,10000.00
2026-03-25T20:15:00+00:00,10000.00
2026-03-25T20:30:00+00:00,10000.00
2026-03-25T20:30:00+00:00,10000.00
2026-03-25T20:30:00+00:00,10000.00
2026-03-25T20:45:00+00:00,10000.00
2026-03-25T20:45:00+00:00,10000.00
2026-03-25T20:45:00+00:00,10000.00
2026-03-25T21:00:00+00:00,10000.00
2026-03-25T21:00:00+00:00,10000.00
2026-03-25T21:00:00+00:00,10000.00
2026-03-25T21:15:00+00:00,10000.00
2026-03-25T21:15:00+00:00,10000.00
2026-03-25T21:15:00+00:00,10000.00
2026-03-25T21:30:00+00:00,10000.00
2026-03-25T21:30:00+00:00,10000.00
2026-03-25T21:30:00+00:00,10000.00
2026-03-25T21:45:00+00:00,10000.00
2026-03-25T21:45:00+00:00,10000.00
2026-03-25T21:45:00+00:00,10000.00
2026-03-25T22:00:00+00:00,10000.00
2026-03-25T22:00:00+00:00,10000.00
2026-03-25T22:00:00+00:00,10000.00
2026-03-25T22:15:00+00:00,10000.00
2026-03-25T22:15:00+00:00,10000.00
2026-03-25T22:15:00+00:00,10000.00
2026-03-25T22:30:00+00:00,10000.00
2026-03-25T22:30:00+00:00,10000.00
2026-03-25T22:30:00+00:00,10000.00
2026-03-25T22:45:00+00:00,10000.00
2026-03-25T22:45:00+00:00,10000.00
2026-03-25T22:45:00+00:00,10000.00
2026-03-25T23:00:00+00:00,10000.00
2026-03-25T23:00:00+00:00,10000.00
2026-03-25T23:00:00+00:00,10000.00
2026-03-25T23:15:00+00:00,10000.00
2026-03-25T23:15:00+00:00,10000.00
2026-03-25T23:15:00+00:00,10000.00
2026-03-25T23:30:00+00:00,10000.00
2026-03-25T23:30:00+00:00,10000.00
2026-03-25T23:30:00+00:00,10000.00
2026-03-25T23:45:00+00:00,10000.00
2026-03-25T23:45:00+00:00,10000.00
2026-03-25T23:45:00+00:00,10000.00
2026-03-26T00:00:00+00:00,10000.00
2026-03-26T00:00:00+00:00,10000.00
2026-03-26T00:00:00+00:00,10000.00
2026-03-26T00:15:00+00:00,10000.00
2026-03-26T00:15:00+00:00,10000.00
2026-03-26T00:15:00+00:00,10000.00
2026-03-26T00:30:00+00:00,10000.00
2026-03-26T00:30:00+00:00,10000.00
2026-03-26T00:30:00+00:00,10000.00
2026-03-26T00:45:00+00:00,10000.00
2026-03-26T00:45:00+00:00,10000.00
2026-03-26T00:45:00+00:00,10000.00
2026-03-26T01:00:00+00:00,10000.00
2026-03-26T01:00:00+00:00,10000.00
2026-03-26T01:00:00+00:00,10000.00
2026-03-26T01:15:00+00:00,10000.00
2026-03-26T01:15:00+00:00,10000.00
2026-03-26T01:15:00+00:00,10000.00
2026-03-26T01:30:00+00:00,10000.00
2026-03-26T01:30:00+00:00,10000.00
2026-03-26T01:30:00+00:00,10000.00
2026-03-26T01:45:00+00:00,10000.00
2026-03-26T01:45:00+00:00,10000.00
2026-03-26T01:45:00+00:00,10000.00
2026-03-26T02:00:00+00:00,10000.00
2026-03-26T02:00:00+00:00,10000.00
2026-03-26T02:00:00+00:00,10000.00
2026-03-26T02:15:00+00:00,10000.00
2026-03-26T02:15:00+00:00,10000.00
2026-03-26T02:15:00+00:00,10000.00
2026-03-26T02:30:00+00:00,10000.00
2026-03-26T02:30:00+00:00,10000.00
2026-03-26T02:30:00+00:00,10000.00
2026-03-26T02:45:00+00:00,10000.00
2026-03-26T02:45:00+00:00,10000.00
2026-03-26T02:45:00+00:00,10000.00
2026-03-26T03:00:00+00:00,10000.00
2026-03-26T03:00:00+00:00,10000.00
2026-03-26T03:00:00+00:00,10000.00
2026-03-26T03:15:00+00:00,10000.00
2026-03-26T03:15:00+00:00,10000.00
2026-03-26T03:15:00+00:00,10000.00
2026-03-26T03:30:00+00:00,10000.00
2026-03-26T03:30:00+00:00,10000.00
2026-03-26T03:30:00+00:00,10000.00
2026-03-26T03:45:00+00:00,10000.00
2026-03-26T03:45:00+00:00,10000.00
2026-03-26T03:45:00+00:00,10000.00
2026-03-26T04:00:00+00:00,10000.00
2026-03-26T04:00:00+00:00,10000.00
2026-03-26T04:00:00+00:00,10000.00
2026-03-26T04:15:00+00:00,10000.00
2026-03-26T04:15:00+00:00,10000.00
2026-03-26T04:15:00+00:00,10000.00
2026-03-26T04:30:00+00:00,10000.00
2026-03-26T04:30:00+00:00,10000.00
2026-03-26T04:30:00+00:00,10000.00
2026-03-26T04:45:00+00:00,10000.00
2026-03-26T04:45:00+00:00,10000.00
2026-03-26T04:45:00+00:00,10000.00
2026-03-26T05:00:00+00:00,10000.00
2026-03-26T05:00:00+00:00,10000.00
2026-03-26T05:00:00+00:00,10000.00
2026-03-26T05:15:00+00:00,10000.00
2026-03-26T05:15:00+00:00,10000.00
2026-03-26T05:15:00+00:00,10000.00
2026-03-26T05:30:00+00:00,10000.00
2026-03-26T05:30:00+00:00,10000.00
2026-03-26T05:30:00+00:00,10000.00
2026-03-26T05:45:00+00:00,10000.00
2026-03-26T05:45:00+00:00,10000.00
2026-03-26T05:45:00+00:00,10000.00
2026-03-26T06:00:00+00:00,10000.00
2026-03-26T06:00:00+00:00,10000.00
2026-03-26T06:00:00+00:00,10000.00
2026-03-26T06:15:00+00:00,10000.00
2026-03-26T06:15:00+00:00,10000.00
2026-03-26T06:15:00+00:00,10000.00
2026-03-26T06:30:00+00:00,10000.00
2026-03-26T06:30:00+00:00,10000.00
2026-03-26T06:30:00+00:00,10000.00
2026-03-26T06:45:00+00:00,10000.00
2026-03-26T06:45:00+00:00,10000.00
2026-03-26T06:45:00+00:00,10000.00
2026-03-26T07:00:00+00:00,10000.00
2026-03-26T07:00:00+00:00,10000.00
2026-03-26T07:00:00+00:00,10000.00
2026-03-26T07:15:00+00:00,10000.00
2026-03-26T07:15:00+00:00,10000.00
2026-03-26T07:15:00+00:00,10000.00
2026-03-26T07:30:00+00:00,10000.00
2026-03-26T07:30:00+00:00,10000.00
2026-03-26T07:30:00+00:00,10000.00
2026-03-26T07:45:00+00:00,10000.00
2026-03-26T07:45:00+00:00,10000.00
2026-03-26T07:45:00+00:00,10000.00
2026-03-26T08:00:00+00:00,10000.00
2026-03-26T08:00:00+00:00,10000.00
2026-03-26T08:00:00+00:00,10000.00
2026-03-26T08:15:00+00:00,10000.00
2026-03-26T08:15:00+00:00,10000.00
2026-03-26T08:15:00+00:00,10000.00
2026-03-26T08:30:00+00:00,10000.00
2026-03-26T08:30:00+00:00,10000.00
2026-03-26T08:30:00+00:00,10000.00
2026-03-26T08:45:00+00:00,10000.00
2026-03-26T08:45:00+00:00,10000.00
2026-03-26T08:45:00+00:00,10000.00
2026-03-26T09:00:00+00:00,10000.00
2026-03-26T09:00:00+00:00,10000.00
2026-03-26T09:00:00+00:00,10000.00
2026-03-26T09:15:00+00:00,10000.00
2026-03-26T09:15:00+00:00,10000.00
2026-03-26T09:15:00+00:00,10000.00
2026-03-26T09:30:00+00:00,10000.00
2026-03-26T09:30:00+00:00,10000.00
2026-03-26T09:30:00+00:00,10000.00
2026-03-26T09:45:00+00:00,10000.00
2026-03-26T09:45:00+00:00,10000.00
2026-03-26T09:45:00+00:00,10000.00
2026-03-26T10:00:00+00:00,10000.00
2026-03-26T10:00:00+00:00,10000.00
2026-03-26T10:00:00+00:00,10000.00
2026-03-26T10:15:00+00:00,10000.00
2026-03-26T10:15:00+00:00,10000.00
2026-03-26T10:15:00+00:00,10000.00
2026-03-26T10:30:00+00:00,10000.00
2026-03-26T10:30:00+00:00,10000.00
2026-03-26T10:30:00+00:00,10000.00
2026-03-26T10:45:00+00:00,10000.00
2026-03-26T10:45:00+00:00,10000.00
2026-03-26T10:45:00+00:00,10000.00
2026-03-26T11:00:00+00:00,10000.00
2026-03-26T11:00:00+00:00,10000.00
2026-03-26T11:00:00+00:00,10000.00
2026-03-26T11:15:00+00:00,10000.00
2026-03-26T11:15:00+00:00,10000.00
2026-03-26T11:15:00+00:00,10000.00
2026-03-26T11:30:00+00:00,10000.00
2026-03-26T11:30:00+00:00,10000.00
2026-03-26T11:30:00+00:00,10000.00
2026-03-26T11:45:00+00:00,10000.00
2026-03-26T11:45:00+00:00,10000.00
2026-03-26T11:45:00+00:00,10000.00
2026-03-26T12:00:00+00:00,10000.00
2026-03-26T12:00:00+00:00,10000.00
2026-03-26T12:00:00+00:00,10000.00
2026-03-26T12:15:00+00:00,10000.00
2026-03-26T12:15:00+00:00,10000.00
2026-03-26T12:15:00+00:00,10000.00
2026-03-26T12:30:00+00:00,10000.00
2026-03-26T12:30:00+00:00,10000.00
2026-03-26T12:30:00+00:00,10000.00
2026-03-26T12:45:00+00:00,10000.00
2026-03-26T12:45:00+00:00,10000.00
2026-03-26T12:45:00+00:00,10000.00
2026-03-26T13:00:00+00:00,10000.00
2026-03-26T13:00:00+00:00,10000.00
2026-03-26T13:00:00+00:00,10000.00
2026-03-26T13:15:00+00:00,10000.00
2026-03-26T13:15:00+00:00,10000.00
2026-03-26T13:15:00+00:00,10000.00
2026-03-26T13:30:00+00:00,10000.00
2026-03-26T13:30:00+00:00,10000.00
2026-03-26T13:30:00+00:00,10000.00
2026-03-26T13:45:00+00:00,10000.00
2026-03-26T13:45:00+00:00,10000.00
2026-03-26T13:45:00+00:00,10000.00
2026-03-26T14:00:00+00:00,10000.00
2026-03-26T14:00:00+00:00,10000.00
2026-03-26T14:00:00+00:00,10000.00
2026-03-26T14:15:00+00:00,10000.00
2026-03-26T14:15:00+00:00,10000.00
2026-03-26T14:15:00+00:00,10000.00
2026-03-26T14:30:00+00:00,10000.00
2026-03-26T14:30:00+00:00,10000.00
2026-03-26T14:30:00+00:00,10000.00
2026-03-26T14:45:00+00:00,10000.00
2026-03-26T14:45:00+00:00,10000.00
2026-03-26T14:45:00+00:00,10000.00
2026-03-26T15:00:00+00:00,10000.00
2026-03-26T15:00:00+00:00,10000.00
2026-03-26T15:00:00+00:00,10000.00
2026-03-26T15:15:00+00:00,10000.00
2026-03-26T15:15:00+00:00,10000.00
2026-03-26T15:15:00+00:00,10000.00
2026-03-26T15:30:00+00:00,10000.00
2026-03-26T15:30:00+00:00,10000.00
2026-03-26T15:30:00+00:00,10000.00
2026-03-26T15:45:00+00:00,10000.00
2026-03-26T15:45:00+00:00,10000.00
2026-03-26T15:45:00+00:00,10000.00
2026-03-26T16:00:00+00:00,10000.00
2026-03-26T16:00:00+00:00,10000.00
2026-03-26T16:00:00+00:00,10000.00
2026-03-26T16:15:00+00:00,10000.00
2026-03-26T16:15:00+00:00,10000.00
2026-03-26T16:15:00+00:00,10000.00
2026-03-26T16:30:00+00:00,10000.00
2026-03-26T16:30:00+00:00,10000.00
2026-03-26T16:30:00+00:00,10000.00
2026-03-26T16:45:00+00:00,10000.00
2026-03-26T16:45:00+00:00,10000.00
2026-03-26T16:45:00+00:00,10000.00
2026-03-26T17:00:00+00:00,10000.00
2026-03-26T17:00:00+00:00,10000.00
2026-03-26T17:00:00+00:00,10000.00
2026-03-26T17:15:00+00:00,10000.00
2026-03-26T17:15:00+00:00,10000.00
2026-03-26T17:15:00+00:00,10000.00
2026-03-26T17:30:00+00:00,10000.00
2026-03-26T17:30:00+00:00,10000.00
2026-03-26T17:30:00+00:00,10000.00
2026-03-26T17:45:00+00:00,10000.00
2026-03-26T17:45:00+00:00,10000.00
2026-03-26T17:45:00+00:00,10000.00
2026-03-26T18:00:00+00:00,10000.00
2026-03-26T18:00:00+00:00,10000.00
2026-03-26T18:00:00+00:00,10000.00
2026-03-26T18:15:00+00:00,10000.00
2026-03-26T18:15:00+00:00,10000.00
2026-03-26T18:15:00+00:00,10000.00
2026-03-26T18:30:00+00:00,10000.00
2026-03-26T18:30:00+00:00,10000.00
2026-03-26T18:30:00+00:00,10000.00
2026-03-26T18:45:00+00:00,10000.00
2026-03-26T18:45:00+00:00,10000.00
2026-03-26T18:45:00+00:00,10000.00
2026-03-26T19:00:00+00:00,10000.00
2026-03-26T19:00:00+00:00,10000.00
2026-03-26T19:00:00+00:00,10000.00
2026-03-26T19:15:00+00:00,10000.00
2026-03-26T19:15:00+00:00,10000.00
2026-03-26T19:15:00+00:00,10000.00
2026-03-26T19:30:00+00:00,10000.00
2026-03-26T19:30:00+00:00,10000.00
2026-03-26T19:30:00+00:00,10000.00
2026-03-26T19:45:00+00:00,10000.00
2026-03-26T19:45:00+00:00,10000.00
2026-03-26T19:45:00+00:00,10000.00
